,City,City Id,Country,Latitude,Longitude,Max_Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
89,iqaluit,5983720,CA,63.75,-68.52,-14.0,84,90,10.8
90,elizabeth city,4465088,US,36.3,-76.22,8.89,75,1,2.46
91,pacific grove,5380437,US,36.62,-121.92,13.33,76,1,3.1
92,san ramon,3616584,NI,12.92,-85.84,18.33,70,0,1.79
93,dasoguz,601734,TM,41.84,59.97,8.0,87,0,2.1
94,mitu,117392,IR,36.2,46.09,-5.22,75,24,0.96
95,altay,1529651,CN,47.83,88.13,-5.22,50,0,1.16
96,fort-shevchenko,609906,KZ,44.51,50.26,5.49,98,20,6.46
97,amalapuram,1278935,IN,16.58,82.0,27.0,65,40,1.46
98,kenai,5866063,US,60.55,-151.26,6.0,80,90,1.5
99,hoquiam,5797693,US,46.98,-123.89,11.0,81,1,2.6
100,bosaso,64013,SO,11.28,49.18,24.49,100,0,3.36
101,jamestown,2069194,AU,-33.21,138.6,19.39,92,92,9.06
102,cornwall,5928065,CA,45.02,-74.73,-1.0,54,75,5.1
103,ingham,2162737,AU,-18.65,146.16,27.14,94,92,4.61
104,avarua,4035715,CK,-21.21,-159.78,25.0,94,92,0.5
105,georgetown,3378644,GY,6.8,-58.16,24.0,94,92,3.1
106,mount isa,2065594,AU,-20.73,139.49,28.0,65,75,8.7
107,saskylakh,2017155,RU,71.97,114.09,-25.72,43,0,1.46
108,bethel,5880568,US,60.79,-161.76,7.0,92,40,7.2
109,mount gambier,2156643,AU,-37.83,140.78,22.0,73,75,7.2
110,juneau,5554072,US,58.3,-134.42,9.0,70,75,7.7
111,hilo,5855927,US,19.71,-155.08,26.0,57,20,4.6
112,adrar,2508813,DZ,27.87,-0.29,15.0,30,0,6.7
113,tilichiki,2120591,RU,60.47,166.1,-8.32,76,0,3.46
114,pahrump,5509851,US,36.21,-115.98,18.33,29,1,6.2
115,ukiah,5404476,US,39.15,-123.21,12.0,50,1,2.6
116,atuona,4020109,PF,-9.8,-139.03,28.14,99,92,7.36
117,guerrero negro,4021858,MX,27.97,-114.04,14.59,88,0,3.91
118,dulyapino,564200,RU,57.26,40.81,-1.0,80,0,3.0
119,seljord,3139894,NO,59.48,8.63,0.56,81,0,2.51
120,sistranda,3139597,NO,63.73,8.83,3.33,74,75,11.3
121,skelleftea,602913,SE,64.75,20.95,3.0,55,0,11.8
122,libreville,2399697,GA,0.39,9.45,29.0,79,40,4.1
123,bredasdorp,1015776,ZA,-34.53,20.04,20.0,82,92,1.5
124,oktyabrskiy,515873,RU,55.61,37.97,1.67,100,80,2.0
125,cherskiy,2126199,RU,68.75,161.3,-12.12,66,12,1.06
126,egvekinot,4031742,RU,66.32,-179.17,-15.32,74,80,2.01
127,san fernando,3871286,CL,-34.58,-70.99,19.0,45,0,2.1
128,bambous virieux,1106677,MU,-20.34,57.76,27.0,83,75,4.1
129,pevek,2122090,RU,69.7,170.27,-19.77,76,0,1.61
130,los llanos de aridane,2514651,ES,28.66,-17.92,17.0,63,92,4.1
131,winslow,2633808,GB,51.94,-0.88,6.11,86,88,1.0
132,vao,588365,EE,59.1,26.19,1.14,84,44,5.86
133,warri,2319133,NG,5.52,5.75,25.14,93,80,2.81
134,aleksandrov gay,583345,RU,50.14,48.57,0.39,90,76,2.06
135,dingle,1714733,PH,11.0,122.67,29.24,55,0,7.01
136,vila,3164565,IT,45.18,8.4,12.22,87,0,4.1
137,flinders,6255012,AU,-34.58,150.85,28.89,54,75,2.1
138,ostrovnoy,556268,RU,68.05,39.51,-1.12,87,0,8.51
139,fairbanks,5861897,US,64.84,-147.72,9.0,52,20,2.1
140,nikolskoye,546105,RU,59.7,30.79,3.33,86,0,3.0
141,emporia,4271086,US,38.4,-96.18,11.0,87,90,8.2
142,solsona,1685831,PH,18.1,120.77,30.0,58,75,4.6
143,ankang,1789065,CN,32.73,108.99,9.39,56,36,1.31
144,noumea,2139521,NC,-22.28,166.46,32.0,52,75,2.6
145,coxim,3465228,BR,-18.5,-54.75,24.39,67,0,3.41
146,caravelas,3466980,BR,-17.73,-39.27,27.99,100,44,7.51
147,mahon,2965139,IE,51.89,-8.4,4.0,80,40,3.1
148,puerto escondido,3520994,MX,15.86,-97.07,28.74,100,0,4.31
149,shaoyang,1799462,CN,27.23,111.45,8.04,100,100,2.06
150,ternate,1682474,PH,14.29,120.72,31.11,48,20,6.2
151,eureka,5563397,US,40.8,-124.16,11.0,100,1,3.1
152,omsukchan,2122493,RU,62.53,155.8,-8.62,82,8,1.66
153,kodiak,4407665,US,39.95,-94.76,11.67,81,90,6.2
154,oktyabrskoye,1511846,RU,56.73,85.44,2.22,69,75,3.0
155,evensk,2125693,RU,61.92,159.24,-0.92,89,0,6.81
156,upernavik,3418910,GL,72.79,-56.15,-23.47,100,32,4.96
157,san patricio,3437029,PY,-26.98,-56.83,16.59,83,0,0.96
158,mahebourg,934322,MU,-20.41,57.7,27.0,83,75,4.1
159,mar del plata,3863379,AR,-46.43,-67.52,7.74,100,0,1.41
160,goianapolis,3462383,BR,-16.51,-49.02,24.0,83,40,4.1
161,kisanga,922704,CD,-11.72,27.4,18.79,86,56,1.21
162,arraial do cabo,3471451,BR,-22.97,-42.02,25.49,92,12,4.36
163,severnoye,496381,RU,54.09,52.54,-7.22,89,32,2.56
164,cidreira,3466165,BR,-30.17,-50.22,16.74,93,0,2.76
165,kamaishi,2112444,JP,39.28,141.86,3.0,51,40,5.1
166,sines,2262917,PT,37.96,-8.87,13.33,63,0,3.13
167,tromso,3133895,NO,69.65,18.96,1.0,86,75,5.7
168,meadow lake,6071421,CA,54.13,-108.44,-0.32,80,0,4.41
169,margate,2158744,AU,-43.03,147.26,22.22,56,40,4.1
170,san cristobal,3652462,EC,-0.39,-78.55,13.0,93,75,1.0
171,arman,2127060,RU,59.7,150.17,-3.02,62,24,3.46
172,lianyuan,1804451,CN,27.69,111.67,7.64,100,92,1.61
173,san quintin,1688687,PH,17.54,120.52,29.19,43,12,1.71
174,provideniya,4031574,RU,64.42,-173.23,-5.52,100,44,10.61
175,kutum,371745,SD,14.2,24.66,15.84,48,0,1.31
176,butaritari,2110227,KI,3.07,172.79,27.14,100,88,4.31
177,carnarvon,1014034,ZA,-30.97,22.13,17.99,23,8,2.86
178,tessalit,2449893,ML,20.2,1.01,16.79,18,64,3.71
179,ilhabela,3461425,BR,-23.78,-45.36,25.64,100,0,5.41
180,saldanha,2737599,PT,41.42,-6.55,2.34,90,0,1.36
181,bjerkvik,3144987,NO,68.55,17.56,2.22,93,90,4.1
182,ulladulla,2145554,AU,-35.36,150.48,27.78,54,75,2.1
183,sept-iles,6144312,CA,50.2,-66.38,-1.67,68,90,1.0
184,viljoenskroon,943960,ZA,-27.21,26.95,15.56,88,12,1.79
185,solnechnyy,2016307,RU,50.72,136.64,-4.02,59,0,1.56
186,teguise,2510573,ES,29.06,-13.56,16.0,77,20,3.6
187,marrakesh,2542997,MA,31.63,-7.99,14.0,76,40,3.6
188,challapata,3921355,BO,-18.9,-66.78,6.89,51,92,1.21
189,soyo,2236967,AO,-6.13,12.37,23.84,97,64,1.16
190,north platte,5697939,US,41.12,-100.77,8.0,75,90,3.1
191,jinchang,1805733,CN,38.52,102.19,0.19,82,0,1.81
192,longyearbyen,2729907,NO,78.22,15.63,-8.0,61,20,5.1
193,haines junction,5969025,CA,60.75,-137.51,1.69,54,56,2.26
194,upata,3625710,VE,8.02,-62.41,25.24,60,0,4.76
195,lompoc,5367788,US,34.64,-120.46,14.44,76,40,2.6
196,marfino,503977,RU,56.07,37.56,1.67,84,0,3.0
197,kirovskiy,2022064,RU,45.09,133.51,0.29,55,36,2.56
198,ushtobe,1517637,KZ,45.25,77.98,3.09,86,92,2.61
199,apache junction,5551535,US,33.41,-111.55,22.78,52,1,1.06
200,luau,876177,CD,-10.7,22.23,18.44,98,92,1.26
201,san juan,4568138,PR,18.47,-66.12,26.0,74,20,3.1
202,oliveira,3455908,BR,-20.7,-44.83,19.89,91,76,3.21
