,City,City Id,Country,Latitude,Longitude,Max_Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
395,xichang,1789647,CN,27.88,102.25,5.84,96,92,0.41
396,kahului,5847411,US,20.89,-156.47,26.11,83,75,5.7
397,genhe,2037252,CN,50.78,121.52,-2.42,59,0,4.36
398,taonan,2034497,CN,45.34,122.78,9.44,78,20,6.46
399,gamba,1281256,CN,28.28,88.52,-11.32,79,0,1.21
400,acari,3390864,BR,-6.44,-36.64,21.49,97,88,1.31
401,nioro,2413070,GM,13.79,-15.05,22.34,57,8,2.56
402,shakawe,933077,BW,-18.36,21.84,20.29,51,0,3.31
403,xam nua,1652203,LA,20.42,104.04,21.04,75,12,1.16
404,codrington,2160063,AU,-28.95,153.24,34.44,46,0,3.1
405,suzdal,485824,RU,56.42,40.45,-7.77,70,56,2.26
406,mildura,2157698,AU,-34.18,142.16,24.0,73,92,4.1
407,umm kaddadah,364933,SD,13.6,26.69,18.69,27,0,1.31
408,sol-iletsk,491019,RU,51.16,55.0,-5.27,81,68,1.86
409,mnogovershinnyy,2019935,RU,53.94,139.92,-6.27,53,44,2.76
410,lagos,2332459,NG,6.46,3.39,28.0,88,20,1.0
411,primero de marzo,3436812,PY,-25.15,-56.93,23.0,83,0,1.16
412,lazaro cardenas,3996234,MX,28.39,-105.62,20.0,15,5,4.1
413,natal,3394023,BR,-5.81,-35.21,27.0,88,75,1.5
414,mazagao,3395042,BR,-0.12,-51.29,26.0,100,0,3.1
415,buala,2109528,SB,-8.15,159.59,29.89,81,68,2.86
416,atikokan,5888001,CA,48.76,-91.62,2.79,89,12,3.11
417,nouadhibou,2377457,MR,20.93,-17.03,18.0,72,75,5.7
418,santa helena de goias,3450206,BR,-17.81,-50.6,22.14,94,88,1.91
419,acajutla,3587498,SV,13.59,-89.83,23.89,57,0,0.45
420,sayat,1218436,TM,38.78,63.88,5.0,93,0,2.1
421,hami,1529484,CN,42.84,93.51,9.89,47,0,3.61
422,lokosovo,1500399,RU,61.13,74.84,-1.37,94,80,3.91
423,kuruman,986134,ZA,-27.46,23.43,22.78,55,36,0.45
424,olutanga,1697155,PH,7.31,122.85,28.29,100,0,1.96
425,kalemie,214974,CD,-5.95,29.2,21.59,100,92,4.41
426,sale,2638678,GB,53.42,-2.32,6.0,86,20,0.5
427,mackenzie,6063191,CA,55.34,-123.09,8.0,45,20,2.6
428,khasan,2039557,RU,42.43,130.64,4.44,65,8,5.36
429,calatayud,3127047,ES,41.35,-1.64,9.0,61,64,1.0
430,omboue,2396853,GA,-1.57,9.26,26.09,100,80,1.71
431,sola,643453,FI,62.78,29.36,1.11,80,0,4.1
432,zhanakorgan,1517323,KZ,43.91,67.25,8.94,86,68,2.81
433,walvis bay,3359638,NA,-22.95,14.51,17.22,77,0,3.1
434,iaciara,3461641,BR,-14.1,-46.63,22.19,93,80,1.36
435,goderich,5962442,CA,43.74,-81.71,1.11,77,0,3.58
436,naantali,645212,FI,60.45,22.03,3.33,59,0,5.7
437,comodoro rivadavia,3860443,AR,-45.87,-67.48,12.0,100,0,1.86
438,kumluca,305681,TR,36.37,30.29,-2.12,75,0,0.66
439,tautira,4033557,PF,-17.73,-149.15,30.0,74,40,7.7
440,torgau,2821807,DE,51.56,13.0,8.33,87,75,2.1
441,invermere,5983626,CA,50.51,-116.03,2.99,84,68,0.61
442,parry sound,6098747,CA,45.34,-80.04,-1.11,55,0,4.01
443,nanortalik,3421765,GL,60.14,-45.24,-4.12,100,80,10.06
444,bathsheba,3374083,BB,13.22,-59.52,26.0,78,75,6.7
445,katiola,2287298,CI,8.14,-5.1,26.09,60,8,3.31
446,tamandare,3661980,BR,-8.28,-70.75,22.99,97,48,0.86
447,qiongshan,1797535,CN,20.01,110.35,22.0,94,90,5.0
448,hirara,1862505,JP,24.8,125.28,20.0,63,75,5.7
449,morro bay,5374920,US,35.37,-120.85,13.33,81,75,4.6
450,asyut,359783,EG,27.18,31.19,20.0,30,0,8.2
451,broken hill,2173911,AU,-31.97,141.45,21.0,88,90,4.1
452,dongsheng,1788268,CN,29.72,112.52,11.89,78,92,1.26
453,jacksonville,4160021,US,30.33,-81.66,16.0,82,1,4.1
454,arlit,2447513,NE,18.74,7.39,19.74,31,56,1.91
455,portland,5746545,US,45.52,-122.67,12.22,71,40,2.6
456,luena,3347719,AO,-11.78,19.91,17.89,66,20,2.41
457,palmer,5871146,US,61.6,-149.11,8.0,81,90,0.86
458,marawi,1701054,PH,8.0,124.29,27.78,77,36,2.68
459,cayenne,3382160,GF,4.94,-52.33,26.0,83,75,2.1
460,tyukhtet,1488774,RU,56.54,89.31,0.09,87,80,2.56
461,santa eulalia,3589355,GT,15.73,-91.46,12.54,96,24,0.41
462,port-gentil,2396518,GA,-0.72,8.78,24.94,100,88,0.31
463,hauterive,3013748,FR,46.09,3.45,5.0,81,0,1.5
464,bubaque,2374583,GW,11.28,-15.83,24.64,100,32,6.31
465,okhotsk,2122605,RU,59.36,143.24,-1.97,72,68,2.46
466,hilpoltstein,2904638,DE,49.19,11.19,6.67,100,1,1.5
467,ewa beach,5855051,US,21.32,-158.01,27.0,44,20,5.1
468,swellendam,950709,ZA,-34.02,20.44,21.0,83,92,0.5
469,labuhan,1641899,ID,-2.54,115.51,27.94,83,64,1.36
470,tomatlan,3981391,MX,19.93,-105.25,20.09,79,0,1.16
471,batagay-alyta,2027042,RU,67.8,130.41,-15.07,77,56,1.86
472,constitucion,4011743,MX,23.99,-104.67,21.0,14,5,6.2
473,peniche,2264923,PT,39.36,-9.38,16.11,58,0,3.1
474,sain alto,3988251,MX,23.58,-103.25,9.94,40,0,1.51
475,gua musang,1734651,MY,4.88,101.97,30.14,61,0,1.16
476,siocon,1724435,PH,11.03,124.04,27.29,93,8,5.61
477,susangerd,137268,IR,31.56,48.19,18.0,48,20,1.0
478,fukue,1848373,JP,35.03,136.69,13.89,46,75,8.2
479,troitsko-pechorsk,481548,RU,62.71,56.19,-1.62,85,76,3.46
480,maine-soroa,2441447,NE,13.21,12.02,25.59,21,24,5.46
481,vila velha,6320062,BR,-3.71,-38.6,26.11,94,75,1.0
482,lavrentiya,4031637,RU,65.58,-170.99,-6.82,100,92,8.46
483,ondjiva,3346821,AO,-17.07,15.73,18.99,85,76,1.36
484,lat yao,1152377,TH,15.75,99.79,33.33,52,0,3.71
485,brokopondo,3384482,SR,5.06,-54.98,25.0,88,20,3.1
486,sanjwal,1166118,PK,33.76,72.43,16.67,58,36,1.34
487,saint-louis,2978742,CH,47.59,7.56,6.11,86,0,2.1
488,gorontalo,1643837,ID,0.54,123.06,30.89,60,12,1.16
489,gagino,504717,RU,54.27,39.54,-4.44,87,32,1.31
490,abu road,1279394,IN,24.48,72.78,24.14,36,0,1.21
491,yar-sale,1486321,RU,66.83,70.83,-11.62,77,24,3.41
492,narasannapeta,1261853,IN,18.42,84.04,28.34,67,0,1.81
493,hervey bay,2146219,AU,-25.3,152.85,31.67,48,0,3.6
494,raymondville,4395255,US,37.34,-91.83,9.0,100,90,3.21
495,bandar-e anzali,141679,IR,37.47,49.46,8.0,100,75,0.96
496,ust-kuyga,2013921,RU,70.0,135.55,-14.27,70,12,1.81
497,oranjemund,3354071,ZA,-28.55,16.43,16.79,92,92,1.11
498,atlantic beach,4146354,US,30.33,-81.4,16.0,82,1,4.1
499,wad rawah,364071,SD,15.16,33.13,18.44,43,0,1.51
500,san pedro,3428576,AR,-33.68,-59.66,17.22,83,0,0.89
501,starkville,4447161,US,33.45,-88.82,15.0,58,1,3.51
502,mursan,1262414,IN,27.58,77.93,21.0,60,5,2.6
503,anadyr,2127202,RU,64.73,177.51,-13.0,78,90,6.46
504,seoul,1835848,KR,37.57,126.98,8.0,31,1,3.1
505,socorro,1685936,PH,13.06,121.41,28.89,61,0,3.13
506,yuci,1785974,CN,37.68,112.73,9.0,18,0,2.0
507,anloga,2304548,GH,5.79,0.9,28.0,83,20,3.6
508,luang prabang,1655559,LA,19.89,102.14,22.0,73,40,1.41
509,torbay,6167817,CA,47.66,-52.73,3.89,93,90,7.7
510,puerto el triunfo,3584003,SV,13.27,-88.55,26.0,74,0,1.5
511,mabaruma,3377301,GY,8.2,-59.78,25.24,88,88,2.86
512,erzurum,315368,TR,39.91,41.27,0.0,88,75,1.16
513,waipawa,2185329,NZ,-39.94,176.59,24.44,50,44,2.68
514,oranjestad,3577154,AW,12.52,-70.03,26.0,83,20,8.7
515,zafra,2509377,ES,38.43,-6.42,10.0,67,0,2.24
516,bukama,217834,CD,-9.2,25.85,19.64,100,92,3.41
517,gondar,2736041,PT,41.82,-8.78,14.44,62,0,0.5
518,mecca,104515,SA,21.43,39.83,14.99,58,0,1.16
519,dalvik,2702977,SE,57.79,14.13,3.33,57,8,5.1
520,borgosesia,3181749,IT,45.72,8.28,10.56,80,0,1.5
521,ambilobe,1082243,MG,-13.19,49.05,22.54,96,48,1.16
522,guayaramerin,3915350,BO,-10.82,-65.36,24.39,98,88,0.96
523,pedasi,3703239,PA,7.53,-80.03,25.24,84,0,8.86
524,poyarkovo,2017705,RU,49.62,128.65,-1.12,56,88,2.51
525,ardakan,143073,IR,32.31,54.02,11.0,27,20,3.1
526,chapais,5919850,CA,49.78,-74.86,-6.0,44,90,3.6
527,beaverlodge,5896969,CA,55.21,-119.43,3.0,88,75,3.6
528,mbekenyera,878006,TZ,-10.0,38.98,20.74,95,56,0.96
529,pundaguitan,1698289,PH,6.37,126.17,27.69,95,24,2.36
530,deputatskiy,2028164,RU,69.3,139.9,-13.22,68,0,1.81
531,vikindu,148987,TZ,-6.98,39.3,24.49,92,88,1.16
532,taltal,3870243,CL,-25.41,-70.49,13.69,95,0,0.91
533,betare oya,2234339,CM,5.6,14.08,18.79,97,56,1.51
534,tafresh,113636,IR,34.69,50.01,0.24,88,92,0.86
535,tadine,2138285,NC,-21.55,167.88,27.94,87,68,7.56
536,bira,2026659,RU,49.0,132.47,-5.17,40,56,1.36
537,santa marinella,3167520,IT,42.04,11.87,13.33,93,0,1.5
538,upornaya,478920,RU,44.39,41.02,-8.47,76,0,1.51
539,sal rei,3374235,CV,16.18,-22.92,21.0,73,75,5.7
540,la rioja,3848950,AR,-29.41,-66.86,19.24,76,0,3.91
541,mahibadhoo,1337605,MV,3.78,72.97,29.24,100,8,4.91
542,vitim,2013375,RU,59.44,112.57,-12.82,47,32,2.01
543,horta,3128760,ES,41.43,2.16,15.56,57,8,0.5
544,saint-pierre,2995603,FR,48.95,4.24,2.0,100,0,3.1
545,seymchan,2121373,RU,62.93,152.39,-9.62,83,12,1.46
